token_text,start_capital,all_capital,capital_ratio,length,vowel_ratio,number_of_vowels,numeric_charecter,numeric_ratio,number_of_nonAlphanumeric,nonAlphanumericRatio,previous_word_text,prev_start_capital,prev_all_capital,prev_capital_ratio,prev_length,prev_vowel_ratio,prev_number_of_vowels,prev_numeric_charecter,prev_numeric_ratio,prev_number_of_nonAlphanumeric,prev_nonAlphanumericRatio,next_word_text,next_start_capital,next_all_capital,next_capital_ratio,next_length,next_vowel_ratio,next_number_of_vowels,next_numeric_charecter,next_numeric_ratio,next_number_of_nonAlphanumeric,next_nonAlphanumericRatio,class
Sosyal,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,,0,0,0.1325110955186801,5,1.4300540033556106,2.183057115463635,0.3336529242569511,0.10192267194218946,0.0010272565401999727,0.00012122500715514402,medyada,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,11
medyada,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Sosyal,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,hýzla,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,11
hýzla,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,medyada,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,yayýlan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,11
yayýlan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,hýzla,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,videoda,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,11
videoda,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,yayýlan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Uruguay,1,0,0.14285714285714285,7,0.75,4.0,0.0,0.0,0.0,0.0,11
Uruguay,1,0,0.14285714285714285,7,0.75,4.0,0.0,0.0,0.0,0.0,videoda,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,da,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,5
da,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,Uruguay,1,0,0.14285714285714285,7,0.75,4.0,0.0,0.0,0.0,0.0,Ferrari,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,11
Ferrari,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,da,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,siyle,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,7
siyle,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,Ferrari,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,yanlayan,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,11
yanlayan,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,siyle,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,kiþinin,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,11
kiþinin,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,yanlayan,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,Çiftlik,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,11
Çiftlik,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,kiþinin,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Bank,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,11
Bank,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,Çiftlik,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,ýn,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,11
ýn,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,Bank,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,firari,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,11
firari,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,ýn,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,CEO,1,1,1.0,3,0.5,2.0,0.0,0.0,0.0,0.0,11
CEO,1,1,1.0,3,0.5,2.0,0.0,0.0,0.0,0.0,firari,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,su,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,6
su,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,CEO,1,1,1.0,3,0.5,2.0,0.0,0.0,0.0,0.0,Mehmet,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,11
Mehmet,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,su,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,Aydýn,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,10
Aydýn,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,Mehmet,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,olduðu,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,10
olduðu,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,Aydýn,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,iddia,0,0,0.0,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,11
iddia,0,0,0.0,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,olduðu,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,ediliyor,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0,10
ediliyor,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0,iddia,0,0,0.0,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,tgsOAqzCd8,0,0,0.3,10,3.5,2.0,1.0,0.1,0.0,0.0,11
tgsOAqzCd8,0,0,0.3,10,3.5,2.0,1.0,0.1,0.0,0.0,ediliyor,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0,,0,0,0.1354839449221152,5,1.495731786133788,2.1909327489385015,0.34166552527051086,0.09677839946809957,0.000890289001506643,0.00010373931385226172,11
Çanakkale,1,0,0.1111111111111111,9,1.25,4.0,0.0,0.0,0.0,0.0,,0,0,0.13252017037798147,5,1.4301519388441297,2.183206619443601,0.3336757740668578,0.10192965199094592,0.0010273268905999315,0.00012122500715514404,geçilmez,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,5
geçilmez,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,Çanakkale,1,0,0.1111111111111111,9,1.25,4.0,0.0,0.0,0.0,0.0,ÇanakkaleZaferi,1,0,0.13333333333333333,15,1.1428571428571428,7.0,0.0,0.0,0.0,0.0,11
ÇanakkaleZaferi,1,0,0.13333333333333333,15,1.1428571428571428,7.0,0.0,0.0,0.0,0.0,geçilmez,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,7VZSzRAffq,0,0,0.5,10,8.0,1.0,1.0,0.1,0.0,0.0,9
7VZSzRAffq,0,0,0.5,10,8.0,1.0,1.0,0.1,0.0,0.0,ÇanakkaleZaferi,1,0,0.13333333333333333,15,1.1428571428571428,7.0,0.0,0.0,0.0,0.0,,0,0,0.13549322337334943,5,1.495834219484434,2.191082792271534,0.3416889238135372,0.09678502721768648,0.000890349971853274,0.0001037393138522617,11
18,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.1325292458587634,5,1.4302498810396402,2.1833561336621634,0.33369862544160556,0.10193663251772246,0.001027397245817751,0.000121225007155144,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,18,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1850,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,3
1850,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,American,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,3
American,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,1850,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Express,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,7
Express,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,American,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,Henry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,7
Henry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,Express,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,Wells,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,10
Wells,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,Henry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,10
William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Wells,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,Fargo,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,10
Fargo,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,10
tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,Fargo,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,11
kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,Yx91rhyC1e,1,0,0.2,10,6.0,1.0,3.0,0.3,0.0,0.0,11
Yx91rhyC1e,1,0,0.2,10,6.0,1.0,3.0,0.3,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,,0,0,0.13550250246000697,5,1.4959366598501023,2.191232845880099,0.34171232395898393,0.09679165542116666,0.0008904109463753842,0.00010373931385226173,11
11,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.1325383219610685,5,1.4303478299426013,2.1835056581200227,0.3337214783813016,0.1019436135225518,0.0010274676058537608,0.000121225007155144,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,11,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1941,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,3
1941,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Lend,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,3
Lend,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,1941,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Lease,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,10
Lease,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,Lend,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,Yasasý,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,10
Yasasý,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,Lease,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,imzalandý,0,0,0.0,9,1.25,4.0,0.0,0.0,0.0,0.0,11
imzalandý,0,0,0.0,9,1.25,4.0,0.0,0.0,0.0,0.0,Yasasý,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,,0,0,0.13551178218213136,5,1.4960391072312726,2.191382909764901,0.3417357257069609,0.0967982840785712,0.0008904719250732595,0.00010373931385226172,9
04,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.13254739868493925,5,1.430445785553473,2.1836551928178807,0.33374433288605304,0.10195059500546663,0.0010275379707082913,0.00012122500715514401,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,11
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,04,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1774,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,11
1774,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Orion,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,3
Orion,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,1774,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Nebulasý,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,10
Nebulasý,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,Orion,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,10
ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Nebulasý,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,kez,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,11
kez,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,11
William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,kez,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Herschel,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,10
Herschel,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,10
tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,Herschel,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,gözlemlendi,0,0,0.0,11,1.75,4.0,0.0,0.0,0.0,0.0,11
gözlemlendi,0,0,0.0,11,1.75,4.0,0.0,0.0,0.0,0.0,tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,pOUA4Sqy2c,0,0,0.4,10,1.6666666666666667,3.0,2.0,0.2,0.0,0.0,9
pOUA4Sqy2c,0,0,0.4,10,1.6666666666666667,3.0,2.0,0.2,0.0,0.0,gözlemlendi,0,0,0.0,11,1.75,4.0,0.0,0.0,0.0,0.0,,0,0,0.13552106253976606,5,1.4961415616284257,2.191532983926644,0.3417591290575777,0.09680491318993119,0.0008905329079471859,0.0001037393138522617,11
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.1325564760304183,5,1.4305437478727132,2.183804737756438,0.3337671889559672,0.10195757696649974,0.0010276083403816725,0.00012122500715514401,1865,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,11
1865,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,HSBC,1,1,1.0,4,4.0,0.0,0.0,0.0,0.0,0.0,11
HSBC,1,1,1.0,4,4.0,0.0,0.0,0.0,0.0,0.0,1865,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Hongkong,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,7
Hongkong,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,HSBC,1,1,1.0,4,4.0,0.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,5
and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Hongkong,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,Shanghai,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,11
Shanghai,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Banking,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,5
Banking,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,Shanghai,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,Corporation,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,7
Corporation,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,Banking,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,7
kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Corporation,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,KUdNHJCGGS,1,0,0.9,10,9.0,1.0,0.0,0.0,0.0,0.0,9
KUdNHJCGGS,1,0,0.9,10,9.0,1.0,0.0,0.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,,0,0,0.13553034353295465,5,1.4962440230420422,2.191683068366031,0.3417825340109442,0.09681154275527773,0.0008905938949974494,0.00010373931385226173,11
Dünya,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,,0,0,0.13256555399754819,5,1.430641716900783,2.183954292936397,0.33379004659115113,0.10196455940568386,0.0010276787148742338,0.00012122500715514401,Ressamlar,1,0,0.1111111111111111,9,2.0,3.0,0.0,0.0,0.0,0.0,8
Ressamlar,1,0,0.1111111111111111,9,2.0,3.0,0.0,0.0,0.0,0.0,Dünya,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,Günü,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,6
Günü,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,Ressamlar,1,0,0.1111111111111111,9,2.0,3.0,0.0,0.0,0.0,0.0,HlsGsmYpcs,1,0,0.3,10,10.0,0.0,0.0,0.0,0.0,0.0,11
HlsGsmYpcs,1,0,0.3,10,10.0,0.0,0.0,0.0,0.0,0.0,Günü,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,,0,0,0.13553962516174065,5,1.4963464914726028,2.191833163083766,0.3418059405671701,0.09681817277464187,0.0008906548862243359,0.00010373931385226172,11
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.13257463258637148,5,1.4307396926381408,2.184103858358458,0.3338129057917121,0.10197154232305174,0.0010277490941863056,0.00012122500715514401,1915,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,11
1915,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,NAsA,1,0,0.75,4,1.0,2.0,0.0,0.0,0.0,0.0,11
NAsA,1,0,0.75,4,1.0,2.0,0.0,0.0,0.0,0.0,1915,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,National,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,7
National,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,NAsA,1,0,0.75,4,1.0,2.0,0.0,0.0,0.0,0.0,Aeronautics,1,0,0.09090909090909091,11,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,7
Aeronautics,1,0,0.09090909090909091,11,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,National,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,7
and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Aeronautics,1,0,0.09090909090909091,11,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,Space,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,11
Space,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Administration,1,0,0.07142857142857142,14,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,7
